system:index,month,soilMoisture,soilMoisture_filled,system:time_start,.geo
0,2019-01,421.9087996641856,421.9087996641856,1546300800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2019-02,388.5082491658854,388.5082491658854,1548979200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2019-03,337.45121709331494,337.45121709331494,1551398400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2019-04,329.00313520022104,329.00313520022104,1554076800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2019-05,278.1460086317896,278.1460086317896,1556668800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2019-06,,589.1803288148324,1559347200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2019-07,,890.1749546724793,1561939200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2019-08,1201.2033292826652,1201.2033292826652,1564617600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2019-09,343.7040822447474,343.7040822447474,1567296000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2019-10,430.7401053466602,430.7401053466602,1569888000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2019-11,365.55082340312345,365.55082340312345,1572566400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2019-12,344.9705279708169,344.9705279708169,1575158400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2020-01,303.2025466649409,303.2025466649409,1577836800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2020-02,286.5281533297172,286.5281533297172,1580515200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2020-03,237.82204780212055,237.82204780212055,1583020800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2020-04,234.9785673603946,234.9785673603946,1585699200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2020-05,237.20040916980744,237.20040916980744,1588291200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2020-06,341.51959792287323,341.51959792287323,1590969600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2020-07,-4.161756639574414,208.1625150666005,1593561600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2020-08,215.1854470447579,215.1854470447579,1596240000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2020-09,268.2285303963785,268.2285303963785,1598918400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2020-10,382.14195917797525,382.14195917797525,1601510400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2020-11,348.1087116363199,348.1087116363199,1604188800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2020-12,341.59990868069474,341.59990868069474,1606780800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2021-01,330.2230048784066,330.2230048784066,1609459200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2021-02,277.8912388401994,277.8912388401994,1612137600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2021-03,252.59477656453177,252.59477656453177,1614556800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2021-04,232.3534930942612,232.3534930942612,1617235200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2021-05,263.15978327379935,263.15978327379935,1619827200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2021-06,540.8407793479597,540.8407793479597,1622505600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2021-07,229.01947876330001,313.08545731546616,1625097600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2021-08,264.13434102744685,264.13434102744685,1627776000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2021-09,97.19211212918832,97.19211212918832,1630454400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,2021-10,319.98363952676925,319.98363952676925,1633046400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,2021-11,680.9042881230678,680.9042881230678,1635724800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,2021-12,365.3360876206979,365.3360876206979,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,2022-01,329.93200598739804,329.93200598739804,1640995200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2022-02,268.3753958708473,268.3753958708473,1643673600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,2022-03,216.23670648924968,216.23670648924968,1646092800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,2022-04,209.97746074937888,209.97746074937888,1648771200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,2022-05,208.91922494381808,208.91922494381808,1651363200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,2022-06,213.62699805073322,213.62699805073322,1654041600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2022-07,83.01046359980721,83.01046359980721,1656633600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,2022-08,211.90934886182603,211.90934886182603,1659312000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,2022-09,305.0085806512096,305.0085806512096,1661990400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,2022-10,313.83223983837564,313.83223983837564,1664582400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,2022-11,262.1184487183597,262.1184487183597,1667260800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,2022-12,255.43950463168665,255.43950463168665,1669852800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,2023-01,236.36033990429343,236.36033990429343,1672531200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,2023-02,237.58200918889582,237.58200918889582,1675209600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,2023-03,300.0148538765755,300.0148538765755,1677628800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,2023-04,260.655841576919,260.655841576919,1680307200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,2023-05,273.8604454573888,273.8604454573888,1682899200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,2023-06,169.66593723423273,169.66593723423273,1685577600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,2023-07,,221.84455968349266,1688169600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,2023-08,275.76249084914406,275.76249084914406,1690848000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,2023-09,282.51463619958764,282.51463619958764,1693526400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,2023-10,296.5470633530377,296.5470633530377,1696118400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,2023-11,303.25781857577056,303.25781857577056,1698796800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,2023-12,301.79226465625334,301.79226465625334,1701388800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,2024-01,306.27672943048486,306.27672943048486,1704067200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,2024-02,262.6760515331959,262.6760515331959,1706745600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,2024-03,258.1085295778206,258.1085295778206,1709251200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,2024-04,237.5901804302909,237.5901804302909,1711929600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,2024-05,239.37377455566835,239.37377455566835,1714521600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,2024-06,330.1077427711134,330.1077427711134,1717200000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,2024-07,,337.9104884580908,1719792000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,2024-08,,345.9732078129096,1722470400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,2024-09,354.03599806571435,354.03599806571435,1725148800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,2024-10,280.12836328028095,280.12836328028095,1727740800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,2024-11,298.26402139598065,298.26402139598065,1730419200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,2024-12,318.1920579349548,318.1920579349548,1733011200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
